phase,phase_title,type,linked_to_phase2,category,item,linked_category
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,資材確認,"紙袋が湿気ている、反っている、または折れている",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,資材確認,"ミシン糸の糸道が間違っている、またはテープが正しくセットされていない",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,外観・目視点検,"吸着パッド、センサーレンズ、シールバー表面に汚れや粉塵が付着している",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,外観・目視点検,"ミシン針が曲がっている、または先端が摩耗している",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,操作パネル確認,"エラー履歴に具体的なエラーコードが表示されている",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,操作パネル確認,"ヒーター温度や各種設定値が、基準値から変更されている",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,空圧系統確認,"エアゲージ（圧力計）の圧力が規定値より低い、または高すぎる",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,空圧系統確認,"エアーフィルターのケースに、水分（ドレン）や油分が溜まっている",
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,資材確認,"乾燥した正常な紙袋に交換する",資材確認
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,資材確認,"ミシン糸を正しい糸道にかけ直し、テープを正しくセットし直す",資材確認
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,外観・目視点検,"付着した汚れや粉塵を、ウエスやエアブローで清掃する",外観・目視点検
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,外観・目視点検,"摩耗したミシン針を新品に交換する",外観・目視点検
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,操作パネル確認,"表示されたエラーコードに基づき、マニュアルで指定されたリセット操作を行う",操作パネル確認
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,操作パネル確認,"誤った設定値を正しい基準値に修正する",操作パネル確認
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,空圧系統確認,"元圧を確認し、レギュレーターで規定の圧力に再設定する",空圧系統確認
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,空圧系統確認,"エアーフィルターのドレンを排出し、ケース内を清掃する",空圧系統確認
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,給袋・開袋ユニット,"吸着パッドの真空圧力が規定値に達していない。真空エジェクタのフィルターが詰まっている",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,計量・充填ユニット,"ロードセルストッパーの隙間が不適正、または周辺に配線などが干渉している",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,ミシンユニット,"針とルーパーの隙間（クリアランス）やタイミングがズレている。部品が摩耗している",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,ヒートシーラーユニット,"テスター測定でヒーターが断線している、または絶縁不良を起こしている",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,ヒートシーラーユニット,"温度センサー（熱電対）の取付不良、または断線している",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,駆動・伝達系統,"タイミングベルトやチェーンの張り（テンション）が緩んでいる、または張りすぎている",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,駆動・伝達系統,"モーターや減速機に過熱や異音が発生している",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,電気・制御系統,"PLCモニタで特定のセンサーや電磁弁の信号が入出力されていない",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,電気・制御系統,"インバーターや制御盤内のリレー、接触器に異常が見られる",
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,給袋・開袋ユニット,"真空ポンプ/エジェクタを点検・調整する。フィルターを清掃または交換する",給袋・開袋ユニット
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,計量・充填ユニット,"ストッパーの隙間を規定値に調整し、干渉物を除去後、キャリブレーション（ゼロ点・スパン調整）を行う",計量・充填ユニット
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,ミシンユニット,"針、ルーパー、押さえ金、送り歯の各クリアランスとタイミングを規定値に再調整する。摩耗部品を交換する",ミシンユニット
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,ヒートシーラーユニット,"断線したヒーターを交換し、絶縁不良箇所を修理する",ヒートシーラーユニット
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,ヒートシーラーユニット,"故障した温度センサーを交換し、正しく設置する。配線の緩みを締め直す",ヒートシーラーユニット
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,駆動・伝達系統,"ベルトやチェーンのテンションを規定の張力に再調整する",駆動・伝達系統
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,駆動・伝達系統,"異音・過熱の原因（潤滑不足、ベアリング摩耗等）を特定し、給油または部品交換を行う",駆動・伝達系統
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,電気・制御系統,"故障したセンサー、電磁弁を特定し交換する",電気・制御系統
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,電気・制御系統,"故障したインバーター、リレー、接触器を交換し、必要に応じてパラメータを再設定する",電気・制御系統
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,復旧確認,"交換した部品や使用した工具類が、機械内部や周辺に残置されていないか最終確認する",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,復旧確認,"調整・交換した箇所のボルトやネジが、確実に締め付けられているか確認する",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,安全確認,"全ての安全カバーや扉が、正しく取り付けられ、インターロックスイッチが正常に機能することを確認する",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,安全確認,"周囲に他の作業者がいないことを確認し、再起動することを声に出して明確に周知する",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,電源投入,"主電源ブレーカーおよび操作パネルの電源を「ON」にする",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,初期化・リセット,"操作パネルでエラー履歴をリセットし、機械の「原点復帰」操作を行う",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,状態記録,"対応内容（交換部品、調整箇所、調整値など）を設備台帳や作業日報に記録する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,寸動・手動運転,"手動モードで各ユニットを個別に最低速度で動かし、干渉や異音、異常な動作がないか確認する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,空袋での試運転,"空の紙袋を数サイクル流し、供給から搬送、袋口処理まで一連の動作タイミングがスムーズか確認する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,実充填での試運転,"実際に原料を投入し、低速で運転を開始する。異常があれば即時停止する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,品質確認（初期）,"最初の5～10袋の充填重量を個別に測定し、規定重量の範囲内で安定しているか確認する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,品質確認（初期）,"【ミシン】 縫い目のピッチ、強度、見た目を確認。目飛びや糸切れがないか入念にチェックする",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,品質確認（初期）,"【ヒートシール】 シール部分を実際に手で剥がし、均一な強度で接着されているか（破断テスト）、見た目に異常がないか確認する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,段階的な速度上昇,"品質に問題がなければ、生産速度を段階的に（例：50%→80%→100%）上げ、各段階で異音や振動、品質に変化がないか監視する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,正規運転・監視,"正規運転開始後も、定期的に（例：30分～1時間に1回）製品を抜き取り、充填重量、縫い目、シール状態を確認し、記録する",
